ISO,Country_Name,lat,long,Population,Number_Slavery,GDP
AL,Albania,41.1533,20.1683,2906000,8600,10305
AT,Austria,47.5162,14.5501,8566000,1500,46222
BY,Belarus,53.7098,27.9534,9550000,44600,18185
BE,Belgium,50.5039,4.4699,11268000,2000,42578
BA,BosniaandHerzegovina,43.9159,17.6791,3810000,17800,9891
BG,Bulgaria,42.7339,25.4858,7176000,29000,16617
HR,Croatia,45.1000,15.2000,4225000,17100,21210
CY,Cyprus,35.1264,33.4299,1165000,4700,30873
CZ,CzechRepublic,49.8175,15.473,10549000,42600,30407
DK,Denmark,56.2639,9.5018,5660000,1000,44916
EE,Estonia,58.5953,25.0136,1310000,5300,26946
FI,Finland,61.9241,25.7482,5485000,6700,39981
FR,France,46.2276,2.2137,66389000,12000,38847
DE,Germany,51.1657,10.4515,80738000,14500,45802
GR,Greece,39.0742,21.8243,10942000,44200,25877
HU,Hungary,47.1625,19.5033,9836000,22500,24721
IE,Ireland,53.4129,8.2439,4659000,800,48755
IT,Italy,41.8719,12.5674,61373000,129600,34706
LV,Latvia,56.8796,24.6032,1979000,8000,22873
LT,Lithuania,55.1694,23.8813,2920000,11800,26742
LU,Luxembourg,49.6116,6.1319,562000,100,97662
MK,Macedonia,41.6086,21.7453,2078000,13300,13142
MT,Malta,41.6086,21.7453,436947,,25058
MD,Moldova,47.4116,28.3699,3538000,10400,4983
ME,Montenegro,42.7087,19.3744,622000,2500,14338
NL,Netherlands,52.1326,5.2913,16896000,17500,47663
NO,Norway,60.472,8.4689,5188000,900,64856
PL,Poland,51.9194,19.1451,38025000,181100,24744
PT,Portugal,51.9194,19.1451,10384000,12800,28393
RO,Romania,45.9432,24.9668,19849000,80200,19401
RU,Russia,61.5240,105.3188,143335000,1048500,25636
RS,Serbia,44.0165,21.0059,7087000,28700,12660
SK,Slovakia,48.669,19.699,5426000,12400,27711
SI,Slovenia,46.1512,14.9955,2066000,4700,29963
ES,Spain,40.4637,3.7492,46513000,8400,33211
SE,Sweden,60.1282,18.6435,9754000,1800,45183
CH,Switzerland,46.8182,8.2275,8267000,1500,57235
UA,Ukraine,48.3794,31.1656,45064000,210400,8665
GB,UnitedKingdom,55.3781,3.4360,64856000,11700,39762
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
