ISO,Country_Name,lat,long,Out_1,lat,long,Out_2,lat,long,Out_3,lat,long,Out_4,lat,long,Out_5,lat,long,Out_6,lat,long,Out_7,lat,long,Out_8,lat,long,Out_9,lat,long,Out_10,lat,long,Out_11,lat,long,Out_12,lat,long,Out_13,lat,long,Out_14,lat,long,Out_15,lat,long,Out_16,lat,long,Out_17,lat,long,Out_18,lat,long,Out_19,lat,long,Out_20,lat,long,Out_21,lat,long,Out_22,lat,long,Out_23,lat,long
AL,Albania ,41.1533,20.1683,BE,50.5039,4.4699,CH,46.8182,8.2275,DE,51.1657,10.4515,GB,55.3781,3.4360,IE,53.4129,8.2439,IT,41.8719,12.5674,NL,52.1326,5.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria ,47.5162,14.5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,Belarus ,53.7098,27.9534,BE,50.5039,4.4699,CH,46.8182,8.2275,DE,51.1657,10.4515,ES,40.4637,3.7492,FI,61.9241,25.7482,FR,46.2276,2.2137,GR,39.0742,21.8243,IT,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,Belgium ,50.5039,4.4699,LU,49.6116,6.1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Bosnia and Herzegovina ,43.9159,17.6791,ES,40.4637,3.7492,HR,45.1000,15.2000,IT,41.8719,12.5674,ME,42.7087,19.3744,MK,41.6086,21.7453,PL,51.9194,19.1451,RS,44.0165,21.0059,SI,46.1512,14.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,Bulgaria ,42.7339,25.4858,AT,47.5162,14.5501,BA,43.9159,17.6791,BE,50.5039,4.4699,CZ,49.8175,15.473,DE,51.1657,10.4515,ES,40.4637,3.7492,GB,55.3781,3.4360,IT,41.8719,12.5674,LT,55.1694,23.8813,MK,41.6086,21.7453,NL,52.1326,5.2913,NO,60.472,8.4689,PL,51.9194,19.1451,PT,39.3999,8.2245,SE,60.1282,18.6435,SI,46.1512,14.9955,SK,48.669,19.699,,,,,,,,,,,,,,,,,,
HR,Croatia ,45.1000,15.2000,,,,,,,ES,40.4637,3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY,Cyprus ,35.1264,33.4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,Czech Republic ,49.8175,15.473,AT,47.5162,14.5501,CH,46.8182,8.2275,GB,55.3781,3.436,FI,61.9241,25.7482,SI,46.1512,14.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,Denmark ,56.2639,9.5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
