source_ISO,source_name,source_lat,source_lon,dest_ISO,dest_lat,dest_lon,weight
BG,Bulgaria,42.7339,25.4858,AT,47.5162,14.5501,26.71949839
BG,Bulgaria,42.7339,25.4858,DE,51.1657,10.4515,73.19290098
CZ,Czech Republic,49.8175,15.473,AT,47.5162,14.5501,40.47091447
DE,Germany,51.1657,10.4515,BA,43.9159,17.6791,99.01178447
AL,Albania,41.1533,20.1683,BE,50.5039,4.4699,84.45393412
BY,Belarus,53.7098,27.9534,BE,50.5039,4.4699,12.45225824
MK,Macedonia,41.6086,21.7453,BE,50.5039,4.4699,1.469605669
SI,Slovenia,46.1512,14.9955,CH,46.8182,8.2275,46.68364602
HU,Hungary,47.1625,19.5033,DE,51.1657,10.4515,65.77897309
SK,Slovakia,48.669,19.699,DE,51.1657,10.4515,73.19290098
BA,Bosnia and Herzegovina,43.9159,17.6791,ES,40.4637,3.7492,23.52087247
LV,Latvia,56.8796,24.6032,FI,61.9241,25.7482,1.441375621
PL,Poland,51.9194,19.1451,FI,61.9241,25.7482,29.3143901
UA,Ukraine,48.3794,31.1656,FI,61.9241,25.7482,83.04360117
RO,Romania,45.9432,24.9668,LT,55.1694,23.8813,25.3260914
BE,Belgium,50.5039,4.4699,LU,49.6116,6.1319,56.17274667
EE,Estonia,58.5953,25.0136,NO,60.472,8.4689,17.22967759
ME,Montenegro,42.7087,19.3744,RS,44.0165,21.0059,6.059737982
LT,Lithuania,55.1694,23.8813,SE,60.1282,18.6435,4.304731505
RU,Russia,61.524,105.3188,SE,60.1282,18.6435,93.37550476
RS,Serbia,44.0165,21.0059,SE,60.1282,18.6435,58.92246507
MD,Moldova,47.4116,28.3699,UA,48.3794,31.1656,80.13028618
